Time,Fidelity
2.805999999999802,0.8904663274217853
2.806999999999802,0.8900552669920114
2.8079999999998018,0.8896427776172191
2.8089999999998017,0.8892288622087399
2.8099999999998015,0.8888135236843915
2.8109999999998014,0.8883967649684605
2.8119999999998013,0.887978588991667
2.812999999999801,0.88755899869114
2.813999999999801,0.887137997010389
2.814999999999801,0.8867155868992747
2.815999999999801,0.8862917713139816
2.8169999999998008,0.8858665532169928
2.8179999999998007,0.8854399355770552
2.8189999999998006,0.8850119213691594
2.8199999999998004,0.8845825135745022
2.8209999999998003,0.884151715180467
2.8219999999998002,0.8837195291805929
2.8229999999998,0.8832859585745415
2.8239999999998,0.8828510063680737
2.8249999999998,0.8824146755730217
2.8259999999998,0.8819769692072564
2.8269999999997997,0.8815378902946611
2.8279999999997996,0.8810974418651054
2.8289999999997995,0.8806556269544118
2.8299999999997993,0.8802124486043302
2.8309999999997992,0.8797679098625084
2.831999999999799,0.8793220137824643
2.832999999999799,0.8788747634235556
2.833999999999799,0.8784261618509525
2.834999999999799,0.8779762121356063
2.8359999999997987,0.8775249173542256
2.8369999999997986,0.8770722805892416
2.8379999999997985,0.8766183049287842
2.8389999999997984,0.8761629934666498
2.8399999999997982,0.8757063493022731
2.840999999999798,0.8752483755406985
2.841999999999798,0.8747890752925512
2.842999999999798,0.8743284516740082
2.843999999999798,0.8738665078067692
2.8449999999997977,0.8734032468180258
2.8459999999997976,0.8729386718404362
2.8469999999997975,0.8724727860120891
2.8479999999997974,0.8720055924764852
2.8489999999997973,0.8715370943824974
2.849999999999797,0.8710672948843466
2.850999999999797,0.8705961971415733
2.851999999999797,0.8701238043190053
2.852999999999797,0.8696501195867303
2.8539999999997967,0.8691751461200665
2.8549999999997966,0.868698887099531
2.8559999999997965,0.8682213457108143
2.8569999999997964,0.8677425251447468
2.8579999999997963,0.8672624285972721
2.858999999999796,0.8667810592694172
2.859999999999796,0.8662984203672616
2.860999999999796,0.8658145151019068
2.861999999999796,0.865329346689451
2.8629999999997957,0.8648429183509572
2.8639999999997956,0.8643552333124201
2.8649999999997955,0.8638662948047433
2.8659999999997954,0.8633761060637027
2.8669999999997953,0.862884670329923
2.867999999999795,0.8623919908488435
2.868999999999795,0.8618980708706885
2.869999999999795,0.8614029136504436
2.870999999999795,0.8609065224478157
2.8719999999997947,0.8604089005272123
2.8729999999997946,0.8599100511577074
2.8739999999997945,0.8594099776130115
